Riukhin;41;0.029947117772518773%
above;41;0.029947117772518773%
whom;41;0.029947117772518773%
conversation;41;0.029947117772518773%
trying;41;0.029947117772518773%
turn;40;0.029216700265871972%
shoes;40;0.029216700265871972%
known;40;0.029216700265871972%
My;40;0.029216700265871972%
Don;40;0.029216700265871972%
Griboedov;40;0.029216700265871972%
legs;40;0.029216700265871972%
receiver;40;0.029216700265871972%
against;40;0.029216700265871972%
Not;40;0.029216700265871972%
storm;40;0.029216700265871972%
gold;39;0.028486282759225174%
Nikolai;39;0.028486282759225174%
few;39;0.028486282759225174%
hundred;39;0.028486282759225174%
Pontius;39;0.028486282759225174%
bench;39;0.028486282759225174%
Stravinsky;39;0.028486282759225174%
interesting;39;0.028486282759225174%
full;39;0.028486282759225174%
With;39;0.028486282759225174%
may;39;0.028486282759225174%
flying;39;0.028486282759225174%
visitor;39;0.028486282759225174%
hour;39;0.028486282759225174%
every;39;0.028486282759225174%
beside;39;0.028486282759225174%
story;39;0.028486282759225174%
empty;38;0.027755865252578373%
start;38;0.027755865252578373%
Sadovaya;38;0.027755865252578373%
somehow;38;0.027755865252578373%
lights;38;0.027755865252578373%
However;38;0.027755865252578373%
restaurant;38;0.027755865252578373%
cloak;38;0.027755865252578373%
teeth;38;0.027755865252578373%
done;38;0.027755865252578373%
bookkeeper;38;0.027755865252578373%
bedroom;38;0.027755865252578373%
among;38;0.027755865252578373%
Let;38;0.027755865252578373%
our;38;0.027755865252578373%
below;37;0.027025447745931575%
quickly;37;0.027025447745931575%
hung;37;0.027025447745931575%
Who;37;0.027025447745931575%
either;37;0.027025447745931575%
should;37;0.027025447745931575%
low;37;0.027025447745931575%
smiled;37;0.027025447745931575%
home;37;0.027025447745931575%
living;37;0.027025447745931575%
blood;36;0.026295030239284777%
golden;36;0.026295030239284777%
ball;36;0.026295030239284777%
silence;36;0.026295030239284777%
tried;36;0.026295030239284777%
magician;36;0.026295030239284777%
fat;36;0.026295030239284777%
novel;36;0.026295030239284777%
lady;36;0.026295030239284777%
For;36;0.026295030239284777%
brought;36;0.026295030239284777%
Arkady;36;0.026295030239284777%
Apollonovich;36;0.026295030239284777%
Just;36;0.026295030239284777%
certain;36;0.026295030239284777%
find;36;0.026295030239284777%
getting;36;0.026295030239284777%
box;36;0.026295030239284777%
women;35;0.025564612732637975%
naked;35;0.025564612732637975%
hat;35;0.025564612732637975%
nice;35;0.025564612732637975%
telephone;35;0.025564612732637975%
street;35;0.025564612732637975%
poured;35;0.025564612732637975%
corner;35;0.025564612732637975%
means;35;0.025564612732637975%
stairs;35;0.025564612732637975%
moonlight;35;0.025564612732637975%
Ponds;35;0.025564612732637975%
palace;35;0.025564612732637975%
road;35;0.025564612732637975%
Poplavsky;35;0.025564612732637975%
rushed;34;0.024834195225991177%
If;34;0.024834195225991177%
green;34;0.024834195225991177%
investigation;34;0.024834195225991177%
When;34;0.024834195225991177%
police;34;0.024834195225991177%
perfectly;34;0.024834195225991177%
does;34;0.024834195225991177%
Queen;34;0.024834195225991177%
cold;34;0.024834195225991177%
together;34;0.024834195225991177%
smile;34;0.024834195225991177%
finger;34;0.024834195225991177%
holding;34;0.024834195225991177%
mouth;34;0.024834195225991177%
big;34;0.024834195225991177%
desk;34;0.024834195225991177%
briefcase;34;0.024834195225991177%
cut;33;0.024103777719344376%
running;33;0.024103777719344376%
huge;33;0.024103777719344376%
each;33;0.024103777719344376%
knife;33;0.024103777719344376%
smiling;33;0.024103777719344376%
inquired;33;0.024103777719344376%
tram;33;0.024103777719344376%
bad;33;0.024103777719344376%
dead;33;0.024103777719344376%
river;33;0.024103777719344376%
stone;33;0.024103777719344376%
hard;32;0.023373360212697578%
currency;32;0.023373360212697578%
free;32;0.023373360212697578%
